Variable_A,Variable_B,Variable_C,Variable_D,Variable_E,Variable_F,Variable_G
ove the road truck driv,< 1 year,,,,,9317155
Foreman,9 years,,,,63.0,29012616
Line Leader,10+ years,,,,22.0,27909872
stocker,10+ years,,,,71.0,49381946
Walmart Distribution Center,10+ years,"  Borrower added on 11/09/11 > Hello,<br>I was just wanting to borrow $3000.00 for a new heating and airconditioning unit, as I have received an estimate for. I would really like to get this taken care of before the weather comes if at all possible. Thank you for considering a loan.<br>",,,34.0,1246126
Director,< 1 year,,,,15.0,65441420
USDA,10+ years,,,,11.0,8732502
CNA,3 years,,,,,61476104
Principal,2 years,,,,,24725019
Laser tech,10+ years,,,,31.0,49695006
parts manager,5 years,,,,,51421614
Senior Planner,10+ years,  Borrower added on 11/21/13 > I am at the age where I just want to be debt free. With your help I can do this. Please review my application. I have had ups and downs in the last 8-10 years that I am ready to only one bill. Thank you.<br>,,,21.0,10856919
Industrial sales engineer ,2 years,,,,11.0,66353290
Property Protection Agent,10+ years,,,,,59628999
University of Maryland,< 1 year,  Borrower added on 09/07/12 > Credit debt consolidation to expedite payoff in preparation for home buying exploration<br>,,,,1790070
Snohomish County,< 1 year,,,,,5479802
Unit Specialist,9 years,,,,,45178053
driver,< 1 year,"  Borrower added on 01/28/14 > I need this loan to start over my life, thank you!<br>",,,,13147714
,,  Borrower added on 06/24/13 > CONSOLIDATE BILLS<br>,,,,7408946
Pest Tech,2 years,,,,,42243513
,,,,,,35032835
BRANCH MANAGER,7 years,,,,,23584379
Clinical Analyst,< 1 year,,,,,26218070
Academic Advisor,< 1 year,,,,,66493996
Instructor,6 years,,,,,27830374
Police Officer,10+ years,,,,57.0,46192434
Machine operator,3 years,,,,24.0,64193134
pharmacy manager,4 years,,,,,55297144
Pipeline Engineer,5 years,,,,68.0,42513525
,,,,,10.0,8122673
Mail carrier,10+ years,,,,,11636732
24 Hr. Fitness,9 years,,,,,682242
Payroll Administrator,6 years,,,,52.0,65569921
Software Development Firm,5 years,,,,,1450998
Solution Architect,7 years,,,,17.0,47012440
Global Health Strategies,1 year,,,,,2118043
Contract Analyst,6 years,,,,76.0,23071923
"vitran express, inc",10+ years,  Borrower added on 02/12/13 > debt consolidation loan<br>,,,49.0,4232133
Executive Assistatn,< 1 year,,,,24.0,49808327
Store manager,4 years,,,,,43143317
Baldor Electric Company,10+ years,,,,,7419622
Service Consultant,9 years,,,,48.0,69193062
CTCA,4 years,,,,,8093738
Instructor,7 years,,,,22.0,30515134
Graphic Design,10+ years,,,,,40870980
,,,,,,32258811
Table Games Dealer,< 1 year,,,,18.0,69842984
Route Sales Representitive,10+ years,,,,,14699406
Sr. Manager,8 years,,,,,22975107
Operational Due Diligence,4 years,,,,8.0,26867746
Teacher,8 years,,,,11.0,59753592
Office manager RN ,10+ years,,,,24.0,70609032
Corporate trainer/server,10+ years,,,,,10347537
Charge RN,5 years,  Borrower added on 02/07/14 > credit card debt consolidation<br><br> Borrower added on 02/07/14 > credit card debt consolidation<br><br> Borrower added on 02/07/14 > credit card debt consolidation<br>,,,17.0,13339971
,,,,,,11950149
deli,4 years,,,,,44175346
"DTZ, Inc.",8 years,,,,,8727192
Faith&Redeemer&Trinity&Good Shepherd Ang,10+ years,,,,,8105355
Associate Product Risk Manager,5 years,  Borrower added on 10/07/13 > Looking to pay down a few credit cards with higher rates before the holiday season.<br>,,,73.0,9411358
Sales ,10+ years,,,,,47496982
casa blanca hotel-casino,10+ years,  Borrower added on 02/11/13 > to pay credit cards whit biger intrest so i can have alower payment<br>,,,,4230316
frontier,10+ years,  Borrower added on 02/13/13 > I am interested in getting rid of all credit card debt. I have kids who are getting older and I would like to have my debt paid off within three years so that I can help them to get out on their own and stand on their own two feet.<br><br> Borrower added on 02/13/13 > My priorities have changed and I wish to lead a debt free (except for mortgage) lifestyle. I would be saving money every month through this loan and plan on building my emergency fund.<br>,,,,4224461
Assistant Coordinating Manager ,10+ years,,,,59.0,64153498
La Porte ISD,6 years,  Borrower added on 08/07/13 > I am wanting to consolidate high interest credit card debt as a step towards financial independence. Thank you for your time.<br>,,,,8316983
Senior team lead of lab,5 years,,,,,38850576
Project Scheduling Manager,2 years,,,,,59114651
Food Inspector,10+ years,,,,14.0,41483478
,,,,,,10360899
Associate,1 year,,,,,19936568
Speech Pathologist,8 years,,,,,71319932
Plumber ,10+ years,,,,73.0,57708968
Shift Operations Manager,3 years,,,,,65882190
Manager ,8 years,,,,,49959310
Universal Branch Associate,2 years,,,,11.0,69728105
quality manager,1 year,,,,,44124047
manager,10+ years,,,,10.0,58641099
Dentist,10+ years,,,,25.0,59731835
Florida Power and Light Co.,10+ years,,,,,1457822
Owner,10+ years,,,,73.0,62977345
Correctional Lieutenant,10+ years,,,,,8427492
Materials Supervisor,10+ years,,,,,50307236
,,,,,6.0,47953080
Manager,5 years,,,,,10331762
Truck driver,10+ years,,,58.6,,73353049
Arizona Department of Transportation MVD,7 years,  Borrower added on 05/21/13 > I want to pay off a higher interest credit card and buy some new computer equipment.<br>,,,33.0,6687023
Radiation Therapist,7 years,,,,5.0,14511296
Gardner Trucking,7 years,"  Borrower added on 12/28/12 > The loan will be used for debt consolidation,home improvement project, and establish credit.<br>",,,47.0,3410731
supervisor,5 years,,,,26.0,30013777
,,,,,,60859320
Accounting Technician,8 years,,,,33.0,50227494
Wells Fargo,< 1 year,"  Borrower added on 11/14/11 > I will be using these funds to pay off high interest credit card debt to save money for my first home.  I don't have alot of debt but I feel with timely payments at a lower interest rate will help me to my goals much sooner.<br> Borrower added on 11/14/11 > Currently monthly expenses are $1300, food varies but on average $100-$150 a month on groceries.<br>",,,,1253545
assosciate,10+ years,,,,71.0,54526103
Department of Homeland Security,5 years,,,,42.0,4147281
entertaiment tech/audio engineer,9 years,  Borrower added on 02/25/14 > replacing and repairing some of my audio gear<br>,,,65.0,14447739
Tech,8 years,,,,21.0,21839779
Driver,8 years,,,,,43276924
American Funds Service Company,10+ years,"  Borrower added on 11/25/11 > Thank you for considering this investment request.  <br><br>I plan to use the funds for debt consolidation and a small portion for my daughter's wedding reception.  <br><br>This is a prudent financial move for me because it lowers:<br>*  my monthly payment by $350<br>*  my over all interest rate on debt<br><br>April 2012 is my 15th anniversary with my current employer and in the last 5 years I have received 2 significant promotions.  My empployer has been in business 80 years and, while they did have some organizational restructing during 2009, they are currently hiring.  They are privately owned and financial stable.  <br><br>Thank you for your time.  You won't be sorry you invested in me!<br> Borrower added on 11/25/11 > Additional Note:  My employer is one of the 3 largest mutual fund companies in the world and employees over 7,000.<br>",,,,1268536
Bridge and Tunnel Officer,10+ years,,,,20.0,37157010
,,,,,76.0,68841459
store manager,2 years,,,,4.0,46962215
Sales,8 years,,,,12.0,43889258
Delivery Driver,1 year,,,,41.0,59279628
Hr dir,10+ years,,,,53.0,24594937
Business Development Manager,< 1 year,,,,77.0,70337782
Paralegal,2 years,,,,23.0,34701415
filling machine operator,2 years,,,,,45321773
Analyst,10+ years,,,,70.0,26336628
Director of Operations,1 year,,,,80.0,65428242
HHA,3 years,,,,,59610830
correction officer,10+ years,  Borrower added on 03/10/14 > To pay off credit cards and loans to better my credit.  Trying to focus on building my credit to prepare more for my future investments.<br>,,,12.0,14649269
Firefighter,10+ years,,,,46.0,14649378
,,,,,,39142683
IT Recruiter,1 year,,,,8.0,35212791
Assistant Controller,10+ years,,,,,50750229
Social Worker,9 years,,,,60.0,30765412
meat cutter,4 years,,,,79.0,42044255
Regional Director,10+ years,,,,,48902104
Physician,3 years,,,,14.0,53895690
West Point Products,6 years,  Borrower added on 02/13/13 > 2 Car Garage<br>,,,,4234524
staff attorney,7 years,,,,8.0,31245845
Warehouse Manager,10+ years,,,,20.0,12678880
MicroStrategy,2 years,,,,,1283154
Associate,3 years,,,,,45420607
Estimating Manager,10+ years,,,,,63028312
Trainmaster,5 years,,,,,71367841
Associate,< 1 year,,,,,40841186
LEAD INSTALLER ,8 years,,,,9.0,19685442
Construction Manager,10+ years,,,,14.0,69403976
Senior Analyst,5 years,,,,,28751630
Lineman,4 years,,,,,60868633
rn supervisor,10+ years,,,,,65547697
Administrative Clerk,< 1 year,,,,7.0,38641080
,,,,,,1611070
Aerospace OEM,10+ years,  Borrower added on 10/16/12 > Funds will be utilized to acquire an existing distribution business with strong revenues and solid net after expenses.  I will be retaining current employment and will run this local business absentee.  Manager and employees in place.  Most of purchase will be covered with cash on hand.<br>,,,,1890191
field service rep,4 years,,,,,24224239
Aerospace Engineer,5 years,,,,50.0,63485018
Perioperative Analyst,1 year,  Borrower added on 02/14/14 > Debit Consolidation<br>,,,15.0,13650659
Plant operator,4 years,,,,,71176933
Senior Associate,< 1 year,,,,,44837098
legal secretary,10+ years,,,,59.0,19877862
LoanOfficer,3 years,,,,34.0,16270719
ExxonMobil,1 year,,,,12.0,5464216
sales associate,3 years,,,,66.0,41419080
Chicago Public Schools,< 1 year,,,,,2434678
RN,7 years,,,,17.0,57965600
Digital Marketing Manager,< 1 year,,,,,30033979
Machinist,8 years,,,,,62976907
Workflow Coordinator,10+ years,,,66.3,71.0,73423101
,,,,78.0,39.0,73079962
Military Analyst,4 years,,,,41.0,16711976
New York State Department of Corrections,3 years,,,,,699907
player service banker,10+ years,,,,,19305467
Bank of the West,10+ years,,,,,996911
senior caseworker,9 years,,,,37.0,63435497
Associate,8 years,,,,12.0,10628271
Manager,7 years,,,,27.0,41299299
SDET2 Software Engineer,9 years,,,,,13908954
Eaton Crouse Hinds,10+ years,,,,,9051398
Director of Operations,5 years,,,,69.0,16130013
owner,10+ years,,,,54.0,22391229
CBP Officer,10+ years,,,,52.0,15499380
Graphic Designer,10+ years,,,,,16722337
Hess Corporation,6 years,  Borrower added on 07/26/12 > Paying off all credit cards to save more money. I'm also putting myself on a strict budget to pay loan off sooner than 60 months.<br>,,,,1699487
Asst manager,10+ years,,,,,65022528
Colonia Verde Dental,10+ years,"  Borrower added on 04/20/12 > I've been at my job for 13 years and am very stable. I will use the funds for credit card consolidation. I've never made a late payment and the monthly payment for this loan is well within my budget. Thank you.<br><br>  Borrower added on 04/23/12 > Thank you to all who have invested in me! Your trust is truly appreciated! To all of my future investers, thank you too!<br><br>  Borrower added on 04/23/12 > I will use this loan to pay off credit cards that are approaching the end of the 0% interest period. The expenses were incurred due to lack of medical coverage which has now been resolved. Please invest in me, you won't be disappointed.I take my debts very seriously. Thank you.<br><br>  Borrower added on 04/25/12 > Many thanks to all my new investors. I still have a long way to go to get my loan funded. Please invest in me.<br><br>  Borrower added on 04/26/12 > To all my investors and future investors, you are an inspiration to me. Thank you for all of your help.<br><br>  Borrower added on 04/28/12 > Thank you to all my new investors. My loan has only 5 days left. This is a guaranteed investment as I always pay my debts on time. Please help me reach my loan amount. Your help is truly appreciated. Thank you.<br><br>  Borrower added on 04/30/12 > With three days remaining I would like to thank all of my investors and future investors. Thank you for your support.<br>",,,,1488150
Beech 400 Pilot,< 1 year,,,,,42564768
Attorney ,10+ years,,,,,35112764
Litigation Support Attorney,< 1 year,,,,,57717986
Shelby County Board of Education,10+ years,,,,25.0,7437975
recruiter,10+ years,,,,29.0,41402033
Licensed Property Manager,3 years,,,,5.0,64606828
Help Desk Technician,4 years,,,,49.0,64020206
IT Manager,1 year,,,,,21098793
Correction Officer,< 1 year,"  Borrower added on 12/03/13 > Hello, I bought a timeshare with a decent interest rate but at a 10 year plan.  Even though this new loan isn't all that great, the $4,000 in interest beats the $12,000 from the one the timeshare office gave me.  Never missed a payment in my life!!<br><br> Borrower added on 12/03/13 > I purchased a time share with a decent interest rate but a ten year plan.The $4,000 in interest here beats the $12,000 in interest from the timeshare office.I'm going to take this money and pay off the time share right away.My current payments are about the same as this proposed payment. Thank you!!<br>",,,,10429751
Therapist,10+ years,,,,81.0,49724793
Truck driver,10+ years,,,,,21157856
Regional sales manager,3 years,,,,,13388445
RN,2 years,,,,,33259096
Teacher,10+ years,,,,19.0,12011335
Director of Operations,8 years,,,,46.0,14788624
owner/operator,10+ years,,,,,43238807
dvb,5 years,,,,,1859115
owner,10+ years,,,,52.0,22943499
President/Sales,9 years,,,,,43935817
WALTERS MERCEDES BENZ AUTO SALES,10+ years,  Borrower added on 08/03/12 > The purpose of this loan will be for a complete upgrade to my kitchen and master bathroom. I purchased my home about 10 years ago with a 30 yr loan and a fixed interest rate of 6%. <br><br>I'm a good candidate because I'm always on time with all my payments and billls. <br><br>Thank you for your time.<br>,,,29.0,1714805
,,,,,54.0,11983774
RN Case Manager,2 years,,,,11.0,65478548
Branch manager,10+ years,,,97.8,60.0,73518062
